Score	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49
WCMC7520_1_N	120.857512247921	62.7049341469468	-85.3493693978267	-58.1486724588742	29.0899954460311	-35.3584889823893	-8.7071788676856	59.9976333039613	16.7607129603116	101.862920206581	50.8781158349986	-12.1985098877054	-18.9732080918858	8.69067787530782	25.1371857213119	0.158335480960696	13.7796484904405	36.0161309388475	7.79755059102576	-20.1304048335752	1.45183626066576	57.0138798686475	-26.0435695548473	37.343062634553	-16.0204707505345	4.67639252961109	-37.2941880353716	-39.9976031946384	10.2237180917736	3.33347059091894	16.8755676997249	4.31001532456985	-2.6997683687754	5.41358799401552	8.91210981396497	3.75790697821047	8.13425511449113	3.71639500018457	8.12185387015984	2.3420982017429	-1.08349487663784	-1.55648599699789	0.738474841990007	1.45282214606789	-0.48740135394553	0.105702505429942	1.59450987244339	0.37983591628456	-2.5489316264767e-13
WCMC164_1_C	-93.0837956779179	-141.493828912106	120.612207802779	-9.58700600915613	26.3136876728273	-22.9279119469334	20.4559165191747	-14.2629945780287	75.4083772392071	-11.1200683619024	24.9716377299821	-11.8800464443762	-6.31764882003581	-13.7169022623658	14.8070270201099	2.99792873738205	7.13479738016606	0.499926265051053	-21.2498748324204	1.97853805412042	26.4954134398654	-1.75130793538688	-28.2217464947976	45.9818735846904	68.8532004540195	3.72466216075769	13.4397431794241	-21.7826193903978	-23.0383425370289	4.01556149410891	-30.452575143461	16.7304642051608	27.2107541188868	20.1187500812179	-9.06979581298343	-15.3815778673017	22.5522513362786	-15.5476640082894	-2.50046423538731	-2.96426524650626	-5.42027568731865	-5.57906598716608	4.00374882200999	-0.778352865265707	-1.70128081277401	1.8333304920261	-1.50283202080633	-0.652290109658868	1.84906347096845e-13
WCMC131_1_C	-46.7064101280361	-135.996081079335	170.99627033912	-20.933602996502	33.2595050365742	-20.4723639447722	-25.3698161446018	16.2864069251581	-23.9478741764627	41.7306830635717	18.8433238097895	-18.8876651217675	31.75431477487	-7.9529724999578	-20.0335159504624	-38.9713076640255	-42.7695771381143	-1.480203032775	3.24869865680391	-7.05180544536966	-14.4919854574724	2.1380435680813	16.5752261418351	-9.44887000691576	-13.2222814279099	-3.91852636210608	-31.6648951180023	13.9104648797676	9.84690820141638	-1.17158371419022	-1.30485677390091	-14.5505795111498	-32.3778645397168	18.2429201229701	-64.7490288012546	-20.6931405064695	7.77858332112099	5.14750680311535	14.9254017779257	-5.30830164962135	4.71764749739341	1.68009945177683	-9.89049984183721	-1.71115988996414	2.79417552552732	-0.50186404554979	0.749889515366704	0.744450097544606	1.32928170288584e-13
WCMC0_8_N	-35.374674673954	161.751314653357	46.071188942943	-17.3084412362857	-36.4846828392103	15.1758546962134	-27.0504778603811	-29.418495529389	-8.31124958131439	3.91722955684284	14.6429863169414	-0.915584310992802	-8.2582103046587	-5.77000816420184	6.06715267941388	-1.74968805030333	1.1276364294416	-3.83665651265082	3.40020561112294	5.49134690144375	6.43338623730862	2.46628759414275	-3.7870304758423	1.05830539230057	9.10387951882527	7.10691546791553	7.48188168868082	-4.96742150844305	8.97088120940855	-9.84054440606485	1.70670362604758	-8.0256950408564	2.26833379421675	-0.828533097917584	5.90360824105347	0.937031681958493	-1.34285194358808	3.19425169507843	5.35200619659723	-10.9239627330117	-10.4327368757569	15.4269833900733	-33.3197887452627	-69.8170761718381	-2.49208565217892	-15.5174225697803	-19.9630434575573	-0.0788238588144547	-1.07484671052374e-13
WCMC159_1_C	-229.275960182777	-50.7194523751946	-38.9749424632352	-19.6778963277699	2.07295027716748	-55.0580716824503	-26.6176223215712	15.2548280831734	94.0055020217713	-10.8875537174439	52.5121597432152	-1.47419504212315	27.9834724037402	2.62552170759647	30.925509083791	38.8365262756411	36.0506717113411	31.3259853166547	40.1402225203926	20.8184562677678	-34.2323399215341	-9.51980077707443	8.33496823107776	-3.86630885836664	-33.18619919884	-46.2383466159599	27.4380077826405	15.4240921082147	-17.7788146181918	-1.59229360522077	10.9785852128331	-27.355212407667	-11.8292252346443	0.319430007645445	2.71194909662734	-4.68066818023648	0.216828952530352	-11.0317083337069	-2.15663538132496	-7.83701340709336	-5.35836931321404	4.63425714601568	0.342705012892437	1.20939001955129	-1.91683482355415	-1.23831318061024	-1.9236070793758	0.842828501517759	-3.55321986568978e-13
WCMC162_1_C	86.8462477419254	-28.3472439263047	-23.3546227172362	-9.68374945222398	-72.2782101222266	-19.1029102376508	-10.1087926229228	10.4311515610348	-25.6972944994717	22.4073251233225	2.03699720829495	-22.8353424549911	-21.7104598093985	-16.6353799796356	0.285656930181775	11.6418147311427	40.0025484519462	-19.6100566165625	47.1400652940232	57.9401485107711	25.6738567704435	5.62951397924273	21.8903899771003	-8.43882722121549	47.25235464171	21.0485091214019	23.4177109679834	12.3482356099842	19.7769345554429	51.6990775244366	39.254160529696	-5.11228237026294	-14.6033603419238	16.2802271561363	-20.3902544140164	8.05160065119965	-0.197752671989513	0.610554057824919	-8.59245721968187	14.0745107128122	-5.43500724213261	-3.19147588962969	-2.66399686271448	6.59724179077689	-3.14445789258606	0.667536624185279	0.933270651798237	-0.807084375906075	-3.97545037389641e-14
WCMC89_1_C	75.5168081765467	-12.5347248845095	-49.7643768114663	-23.6799191803372	-6.14888605221162	-35.9326504800201	10.5911696608703	-29.5272227893085	3.79083826054521	9.97362876789807	-0.434785849138488	-18.5403135547741	-53.1223168191532	5.95854465683897	5.43147955847772	-1.15303868638246	-24.4077209467551	-1.13766866344252	-27.0531931084175	-5.1507414402459	-17.6532021436751	-3.4698237265136	3.04130955676842	-3.27826955080115	-30.7741047365301	-2.29201382348368	25.0282142607424	-26.3068921635449	-36.3964025513453	29.4438403025599	-5.99336911105254	1.86036592559394	25.7828502170874	-14.2557410483191	-50.9087227096318	2.20881171493002	-48.1977611536589	7.70686671874069	-35.4312369344206	-11.188806752182	-10.1611592500821	-2.3627356831426	8.66260136468224	-8.51534986762432	-2.67471819423779	0.92462543639974	-0.868493683900997	-1.2820560401434	-2.09402845286816e-13
WCMC59_1_C	75.0089288813199	48.6643422128059	-45.6670123004404	-2.99260488842008	41.4734005418286	-1.87884725015734	61.6727028655962	27.8874022232621	7.07766302327348	-64.6389352998047	42.5264861933178	20.4854511664085	43.6061596013352	24.0187446091075	-44.9509581617004	2.47683652318287	-69.1002747837894	-6.5271400882325	57.4565697975327	22.3966571980876	-10.8608459086792	51.9077124501198	-49.0050076160653	-18.7475121436693	9.1434251782269	19.6201375290774	25.2606058213393	3.0380679205302	-9.99192273660491	5.2120585391358	-15.5912455917962	6.82467381317876	-9.10348321447816	-0.409793287584395	1.91461408824956	-1.91917378849341	-4.5049296968534	6.99067636142209	-0.635671541282352	-4.24172192931265	-3.51581133428248	-4.05065484296396	-2.11001575222278	-0.629156779045021	1.82931486109385	2.58580275191273	0.260602183456759	0.0371818558385199	-2.65286736331129e-13
WCMC14_1_C	-115.807366714779	-73.9012651703913	-18.300792352016	-4.66562056446147	-48.0435018402744	-20.9643487543888	61.6247076399146	-17.2905387597022	37.3154725511172	11.8130945437673	-40.976528499915	29.3332538622648	11.8485959489966	-2.63900145203341	-2.48296025157182	-21.6503135061656	-13.9080672929884	1.54678356676415	-9.11970667180071	-25.3262286586329	-3.21799570074091	40.067916629989	-2.17470976569531	4.82092185545867	2.67870946044306	-28.0978811849254	-5.76249685497614	31.9744560710686	57.2031652267663	-3.39962939682667	7.7428943254054	22.0500144689464	11.2984470675581	2.04257500561523	-6.14307903657605	37.7392756561116	8.3021490847137	-10.1624653095303	-50.3697456734763	-9.14296097755812	-2.53195615781375	9.50724493541646	-8.05863999405983	-0.130972889503076	-0.610203961551232	0.640393633708834	0.171577480444231	0.324684231522785	3.42756090166135e-13
WCMC91_1_C	-46.6554878934781	-32.9120958428757	-39.3765892492156	-27.0300959988313	34.3829977464487	-48.6681696868271	44.5022917507085	-22.0190178330592	-3.33224252820899	18.8808809386129	12.6218987391121	9.32963694165246	-42.5751039701963	-14.9565295323839	-2.10168167059273	-10.0684131189194	-56.1960574629895	-31.2889374337795	-53.3606852802978	13.1549128359391	0.547243474156234	3.09345576900048	38.7980059862171	17.8694386975579	-13.4753982944533	5.57555474528053	55.6785470901856	-10.4900504079427	-5.91792916418121	-19.0016119344719	25.0511855750698	9.2875085225528	-44.6744597411237	25.1838130880002	30.7755667262399	6.0727007765758	11.0415772478348	-2.54046100117742	13.0303211855736	2.34882762488069	4.32939806477314	3.32089486196156	2.26960186572002	2.21890174001311	1.34386286779836	1.14969492462851	-0.717189188182307	-0.189394237042422	-2.01812152330217e-13
